Electricity_Source,ES_Multiplier,Application_Name,Learning_Method,LM_Multiplier,Model_Used,Model_Multiplier,Dataset_Size,Dataset_Size_Category,Dataset_Size_Numeric,Dataset_Size_Multiplier,Data_Type,Data_Type_Multiplier,Dataset_Type,Dataset_Type_Multiplier,GPU_Used,GPU_Multiplier,Training_Time,Power_Consumption,Carbon_Emission,Carbon_Footprint
Wind,0.3,Image Classification,Unsupervised,1.5,SVM,1.3,100,Small,1.0,0.8,Categorical,1.0,Structured,1.0,A100,0.8,4.875,3.9,1.1700000000000002,0
Hydro,0.7,Speech Recognition,Unsupervised,1.5,RNN,1.6,90,Medium,10.0,1.0,Image,1.5,Structured,1.0,RTX_3090,1.2,2.400000000000001,2.880000000000001,2.0160000000000005,0
Wind,0.3,Chatbot,Self-Supervised,1.8,Transformer,2.2,100,Medium,10.0,1.0,Video,2.0,Structured,1.0,A100,0.8,7.920000000000001,6.336000000000001,1.9008000000000005,0
Wind,0.3,Image Classification,Supervised,1.2,Random Forest,1.5,30,Medium,10.0,1.0,Audio,1.8,Unstructured,1.5,RTX_3090,1.2,3.24,3.888,1.1664,0
Coal,2.5,Autonomous Driving,Unsupervised,1.5,Naive Bayes,1.1,80,Small,1.0,0.8,Numeric,0.8,Unstructured,1.5,RTX_3090,1.2,3.3000000000000007,3.960000000000001,9.900000000000002,1
Wind,0.3,Chatbot,Self-Supervised,1.8,SVM,1.3,20,Medium,10.0,1.0,Categorical,1.0,Unstructured,1.5,TPU_v3,0.7,4.0114285714285725,2.8080000000000007,0.8424000000000001,0
Wind,0.3,Chatbot,Self-Supervised,1.8,RNN,1.6,40,Small,1.0,0.8,Video,2.0,Structured,1.0,TPU_v4,0.6,19.200000000000003,11.52,3.4560000000000004,0
Hydro,0.7,Chatbot,Supervised,1.2,Transformer,2.2,40,Medium,10.0,1.0,Image,1.5,Structured,1.0,A100,0.8,3.96,3.168,2.2176,0
Natural Gas,2.0,Fraud Detection,Supervised,1.2,SVM,1.3,40,Small,1.0,0.8,Video,2.0,Structured,1.0,V100,1.0,6.24,6.24,12.48,1
Solar,0.5,Autonomous Driving,Reinforcement,2.0,Naive Bayes,1.1,70,Small,1.0,0.8,Image,1.5,Structured,1.0,V100,1.0,6.6000000000000005,6.6000000000000005,3.3000000000000003,0
Solar,0.5,Image Classification,Supervised,1.2,Random Forest,1.5,90,Large,100.0,1.2,Image,1.5,Structured,1.0,V100,1.0,4.32,4.32,2.16,0
Natural Gas,2.0,Video Processing,Supervised,1.2,RNN,1.6,30,Large,100.0,1.2,Numeric,0.8,Structured,1.0,TPU_v4,0.6,4.096000000000001,2.4576000000000007,4.915200000000001,0
Solar,0.5,Video Processing,Reinforcement,2.0,Naive Bayes,1.1,80,Large,100.0,1.2,Image,1.5,Unstructured,1.5,Tesla_T4,1.1,7.200000000000001,7.920000000000002,3.960000000000001,0
Solar,0.5,Speech Recognition,Self-Supervised,1.8,Decision Tree,1.2,10,Medium,10.0,1.0,Audio,1.8,Structured,1.0,V100,1.0,4.6656,4.6656,2.3328,0
Natural Gas,2.0,Fraud Detection,Supervised,1.2,Transformer,2.2,100,Small,1.0,0.8,Image,1.5,Structured,1.0,TPU_v4,0.6,13.2,7.92,15.84,1
Coal,2.5,Image Classification,Reinforcement,2.0,Transformer,2.2,70,Medium,10.0,1.0,Audio,1.8,Unstructured,1.5,Tesla_T4,1.1,8.64,9.504,23.760000000000005,1
Hydro,0.7,Video Processing,Self-Supervised,1.8,CNN,1.8,30,Small,1.0,0.8,Video,2.0,Structured,1.0,TPU_v3,0.7,18.51428571428572,12.96,9.072,1
Solar,0.5,Fraud Detection,Unsupervised,1.5,CNN,1.8,20,Large,100.0,1.2,Numeric,0.8,Structured,1.0,RTX_3090,1.2,2.8800000000000003,3.4560000000000004,1.7280000000000002,0
Coal,2.5,Speech Recognition,Self-Supervised,1.8,Random Forest,1.5,100,Small,1.0,0.8,Image,1.5,Unstructured,1.5,TPU_v4,0.6,20.250000000000004,12.150000000000002,30.375000000000007,1
Nuclear,1.0,Video Processing,Reinforcement,2.0,Transformer,2.2,70,Large,100.0,1.2,Audio,1.8,Structured,1.0,TPU_v4,0.6,21.120000000000005,12.672000000000002,12.672000000000002,1
Wind,0.3,Image Classification,Self-Supervised,1.8,Random Forest,1.5,80,Large,100.0,1.2,Audio,1.8,Unstructured,1.5,V100,1.0,11.664,11.664,3.4992000000000005,0
Hydro,0.7,Chatbot,Unsupervised,1.5,Naive Bayes,1.1,50,Large,100.0,1.2,Image,1.5,Unstructured,1.5,V100,1.0,5.940000000000001,5.940000000000001,4.158,0
Natural Gas,2.0,Image Classification,Self-Supervised,1.8,Naive Bayes,1.1,100,Medium,10.0,1.0,Image,1.5,Unstructured,1.5,V100,1.0,3.5640000000000005,3.5640000000000005,7.128000000000001,0
Coal,2.5,Autonomous Driving,Reinforcement,2.0,Decision Tree,1.2,90,Medium,10.0,1.0,Image,1.5,Structured,1.0,TPU_v4,0.6,4.8,2.88,7.199999999999999,0
Natural Gas,2.0,Speech Recognition,Supervised,1.2,Transformer,2.2,60,Medium,10.0,1.0,Audio,1.8,Unstructured,1.5,V100,1.0,8.553600000000001,8.553600000000001,17.107200000000002,1
Nuclear,1.0,Chatbot,Supervised,1.2,SVM,1.3,50,Large,100.0,1.2,Audio,1.8,Unstructured,1.5,V100,1.0,6.739200000000001,6.739200000000001,6.739200000000001,0
Nuclear,1.0,Video Processing,Supervised,1.2,Decision Tree,1.2,10,Medium,10.0,1.0,Audio,1.8,Unstructured,1.5,TPU_v4,0.6,7.776,4.6656,4.6656,0
Wind,0.3,Video Processing,Unsupervised,1.5,Naive Bayes,1.1,90,Large,100.0,1.2,Categorical,1.0,Structured,1.0,TPU_v3,0.7,3.7714285714285727,2.640000000000001,0.7920000000000001,0
Wind,0.3,Image Classification,Unsupervised,1.5,CNN,1.8,40,Large,100.0,1.2,Categorical,1.0,Structured,1.0,V100,1.0,4.32,4.32,1.296,0
Hydro,0.7,Speech Recognition,Unsupervised,1.5,Decision Tree,1.2,70,Large,100.0,1.2,Categorical,1.0,Structured,1.0,TPU_v4,0.6,4.8,2.88,2.016,0
Wind,0.3,Image Classification,Unsupervised,1.5,SVM,1.3,80,Medium,10.0,1.0,Video,2.0,Structured,1.0,A100,0.8,3.9,3.120000000000001,0.9360000000000002,0
Hydro,0.7,Fraud Detection,Supervised,1.2,SVM,1.3,80,Small,1.0,0.8,Audio,1.8,Unstructured,1.5,A100,0.8,10.53,8.424000000000001,5.896800000000001,0
Natural Gas,2.0,Autonomous Driving,Supervised,1.2,Decision Tree,1.2,50,Medium,10.0,1.0,Numeric,0.8,Unstructured,1.5,RTX_3090,1.2,1.728,2.0736,4.1472,0
Wind,0.3,Speech Recognition,Reinforcement,2.0,SVM,1.3,20,Medium,10.0,1.0,Numeric,0.8,Structured,1.0,RTX_3090,1.2,2.0800000000000005,2.4960000000000004,0.7488000000000001,0
Hydro,0.7,Image Classification,Supervised,1.2,SVM,1.3,10,Medium,10.0,1.0,Categorical,1.0,Unstructured,1.5,TPU_v4,0.6,4.68,2.808,1.9656,0
Wind,0.3,Speech Recognition,Reinforcement,2.0,CNN,1.8,90,Small,1.0,0.8,Numeric,0.8,Structured,1.0,RTX_3090,1.2,4.800000000000001,5.760000000000001,1.7280000000000002,0
Hydro,0.7,Fraud Detection,Unsupervised,1.5,SVM,1.3,20,Large,100.0,1.2,Categorical,1.0,Structured,1.0,RTX_3090,1.2,2.6000000000000005,3.120000000000001,2.184,0
Hydro,0.7,Video Processing,Reinforcement,2.0,Random Forest,1.5,30,Medium,10.0,1.0,Image,1.5,Structured,1.0,TPU_v4,0.6,9.0,5.4,3.78,0
Natural Gas,2.0,Speech Recognition,Unsupervised,1.5,Naive Bayes,1.1,100,Medium,10.0,1.0,Categorical,1.0,Structured,1.0,V100,1.0,1.98,1.98,3.96,0
Hydro,0.7,Autonomous Driving,Reinforcement,2.0,Decision Tree,1.2,100,Medium,10.0,1.0,Categorical,1.0,Unstructured,1.5,Tesla_T4,1.1,2.6181818181818177,2.88,2.016,0
Wind,0.3,Image Classification,Reinforcement,2.0,RNN,1.6,10,Medium,10.0,1.0,Image,1.5,Structured,1.0,TPU_v3,0.7,8.22857142857143,5.760000000000001,1.7280000000000002,0
Solar,0.5,Video Processing,Unsupervised,1.5,Transformer,2.2,20,Medium,10.0,1.0,Video,2.0,Unstructured,1.5,TPU_v3,0.7,11.314285714285717,7.920000000000001,3.96,0
Hydro,0.7,Chatbot,Supervised,1.2,Transformer,2.2,60,Medium,10.0,1.0,Image,1.5,Structured,1.0,A100,0.8,3.96,3.168,2.2176,0
Coal,2.5,Fraud Detection,Reinforcement,2.0,Transformer,2.2,70,Small,1.0,0.8,Categorical,1.0,Unstructured,1.5,A100,0.8,16.5,13.2,33.0,1
Nuclear,1.0,Video Processing,Unsupervised,1.5,Decision Tree,1.2,80,Medium,10.0,1.0,Numeric,0.8,Unstructured,1.5,V100,1.0,1.7279999999999998,1.7279999999999998,1.7279999999999998,0
Coal,2.5,Image Classification,Supervised,1.2,SVM,1.3,30,Medium,10.0,1.0,Numeric,0.8,Unstructured,1.5,Tesla_T4,1.1,2.042181818181818,2.2464,5.616,0
Hydro,0.7,Video Processing,Unsupervised,1.5,Transformer,2.2,40,Large,100.0,1.2,Audio,1.8,Unstructured,1.5,V100,1.0,14.256000000000004,14.256000000000004,9.979200000000002,1
Nuclear,1.0,Fraud Detection,Self-Supervised,1.8,CNN,1.8,30,Large,100.0,1.2,Categorical,1.0,Unstructured,1.5,Tesla_T4,1.1,7.06909090909091,7.776000000000002,7.776000000000002,0
Wind,0.3,Chatbot,Reinforcement,2.0,Naive Bayes,1.1,60,Medium,10.0,1.0,Image,1.5,Unstructured,1.5,RTX_3090,1.2,4.95,5.94,1.782,0
Natural Gas,2.0,Image Classification,Reinforcement,2.0,Transformer,2.2,100,Medium,10.0,1.0,Image,1.5,Unstructured,1.5,Tesla_T4,1.1,7.200000000000001,7.920000000000002,15.840000000000003,1
Natural Gas,2.0,Image Classification,Unsupervised,1.5,RNN,1.6,30,Large,100.0,1.2,Categorical,1.0,Structured,1.0,TPU_v3,0.7,5.485714285714288,3.840000000000001,7.680000000000002,0
Wind,0.3,Video Processing,Supervised,1.2,SVM,1.3,80,Small,1.0,0.8,Audio,1.8,Structured,1.0,Tesla_T4,1.1,5.1054545454545455,5.6160000000000005,1.6848,0
Wind,0.3,Autonomous Driving,Self-Supervised,1.8,Naive Bayes,1.1,10,Small,1.0,0.8,Image,1.5,Structured,1.0,TPU_v3,0.7,8.485714285714288,5.940000000000001,1.7820000000000005,0
Coal,2.5,Image Classification,Self-Supervised,1.8,SVM,1.3,30,Large,100.0,1.2,Audio,1.8,Unstructured,1.5,V100,1.0,10.108800000000002,10.108800000000002,25.27200000000001,1
Solar,0.5,Fraud Detection,Unsupervised,1.5,Random Forest,1.5,70,Medium,10.0,1.0,Audio,1.8,Structured,1.0,V100,1.0,3.24,3.24,1.62,0
Solar,0.5,Chatbot,Reinforcement,2.0,RNN,1.6,10,Medium,10.0,1.0,Image,1.5,Unstructured,1.5,Tesla_T4,1.1,5.236363636363637,5.760000000000002,2.880000000000001,0
Natural Gas,2.0,Fraud Detection,Supervised,1.2,Decision Tree,1.2,30,Medium,10.0,1.0,Numeric,0.8,Unstructured,1.5,RTX_3090,1.2,1.152,1.3824,2.7648,0
Wind,0.3,Fraud Detection,Self-Supervised,1.8,Naive Bayes,1.1,60,Medium,10.0,1.0,Audio,1.8,Structured,1.0,TPU_v3,0.7,4.073142857142858,2.8512000000000004,0.8553600000000001,0
Coal,2.5,Image Classification,Reinforcement,2.0,Transformer,2.2,30,Medium,10.0,1.0,Audio,1.8,Unstructured,1.5,Tesla_T4,1.1,8.64,9.504,23.760000000000005,1
Wind,0.3,Fraud Detection,Supervised,1.2,Transformer,2.2,60,Medium,10.0,1.0,Video,2.0,Unstructured,1.5,A100,0.8,7.92,6.336,1.9008,0
Solar,0.5,Chatbot,Self-Supervised,1.8,Transformer,2.2,10,Large,100.0,1.2,Video,2.0,Unstructured,1.5,A100,0.8,23.76,19.008000000000003,9.504,1
Wind,0.3,Fraud Detection,Supervised,1.2,Decision Tree,1.2,80,Medium,10.0,1.0,Image,1.5,Structured,1.0,Tesla_T4,1.1,1.5709090909090906,1.7279999999999998,0.5183999999999999,0
Solar,0.5,Fraud Detection,Unsupervised,1.5,CNN,1.8,70,Large,100.0,1.2,Numeric,0.8,Structured,1.0,RTX_3090,1.2,2.8800000000000003,3.4560000000000004,1.7280000000000002,0
Hydro,0.7,Autonomous Driving,Supervised,1.2,Naive Bayes,1.1,40,Medium,10.0,1.0,Video,2.0,Structured,1.0,RTX_3090,1.2,1.7600000000000002,2.112,1.4784,0
Coal,2.5,Speech Recognition,Supervised,1.2,SVM,1.3,100,Medium,10.0,1.0,Numeric,0.8,Unstructured,1.5,RTX_3090,1.2,1.872,2.2464,5.616,0
Nuclear,1.0,Video Processing,Self-Supervised,1.8,Decision Tree,1.2,30,Medium,10.0,1.0,Image,1.5,Unstructured,1.5,RTX_3090,1.2,4.86,5.832,5.832,0
Nuclear,1.0,Chatbot,Reinforcement,2.0,Naive Bayes,1.1,20,Large,100.0,1.2,Numeric,0.8,Unstructured,1.5,TPU_v3,0.7,6.0342857142857165,4.224000000000001,4.224000000000001,0
Hydro,0.7,Autonomous Driving,Reinforcement,2.0,Naive Bayes,1.1,30,Medium,10.0,1.0,Audio,1.8,Unstructured,1.5,RTX_3090,1.2,3.960000000000001,4.752000000000001,3.3264000000000005,0
Coal,2.5,Autonomous Driving,Unsupervised,1.5,CNN,1.8,30,Medium,10.0,1.0,Image,1.5,Structured,1.0,Tesla_T4,1.1,2.9454545454545453,3.24,8.100000000000001,0
Coal,2.5,Video Processing,Self-Supervised,1.8,Random Forest,1.5,50,Medium,10.0,1.0,Image,1.5,Structured,1.0,V100,1.0,3.24,3.24,8.100000000000001,0
Solar,0.5,Image Classification,Unsupervised,1.5,RNN,1.6,70,Medium,10.0,1.0,Image,1.5,Unstructured,1.5,TPU_v3,0.7,6.1714285714285735,4.320000000000001,2.1600000000000006,0
Hydro,0.7,Speech Recognition,Supervised,1.2,Decision Tree,1.2,90,Small,1.0,0.8,Image,1.5,Structured,1.0,V100,1.0,4.32,4.32,3.024,0
Wind,0.3,Chatbot,Self-Supervised,1.8,SVM,1.3,40,Medium,10.0,1.0,Categorical,1.0,Unstructured,1.5,TPU_v3,0.7,4.0114285714285725,2.8080000000000007,0.8424000000000001,0
Natural Gas,2.0,Autonomous Driving,Unsupervised,1.5,Random Forest,1.5,70,Large,100.0,1.2,Categorical,1.0,Structured,1.0,TPU_v3,0.7,5.142857142857143,3.6,7.2,0
Nuclear,1.0,Image Classification,Supervised,1.2,Random Forest,1.5,60,Small,1.0,0.8,Video,2.0,Structured,1.0,RTX_3090,1.2,6.0,7.199999999999999,7.199999999999999,0
Hydro,0.7,Image Classification,Reinforcement,2.0,Random Forest,1.5,100,Small,1.0,0.8,Image,1.5,Unstructured,1.5,RTX_3090,1.2,11.25,13.5,9.45,1
Solar,0.5,Image Classification,Supervised,1.2,Transformer,2.2,10,Medium,10.0,1.0,Categorical,1.0,Structured,1.0,V100,1.0,2.112,2.112,1.056,0
Wind,0.3,Autonomous Driving,Reinforcement,2.0,Naive Bayes,1.1,60,Large,100.0,1.2,Audio,1.8,Structured,1.0,TPU_v4,0.6,10.560000000000002,6.336000000000001,1.9008000000000005,0
Hydro,0.7,Fraud Detection,Supervised,1.2,Naive Bayes,1.1,90,Large,100.0,1.2,Numeric,0.8,Unstructured,1.5,Tesla_T4,1.1,2.304,2.5344,1.77408,0
Wind,0.3,Fraud Detection,Supervised,1.2,RNN,1.6,20,Medium,10.0,1.0,Audio,1.8,Unstructured,1.5,RTX_3090,1.2,5.184,6.2208,1.86624,0
Wind,0.3,Fraud Detection,Reinforcement,2.0,Decision Tree,1.2,50,Medium,10.0,1.0,Video,2.0,Unstructured,1.5,V100,1.0,5.76,5.76,1.728,0
Solar,0.5,Fraud Detection,Unsupervised,1.5,Decision Tree,1.2,90,Medium,10.0,1.0,Image,1.5,Structured,1.0,TPU_v3,0.7,3.0857142857142863,2.16,1.08,0
Natural Gas,2.0,Image Classification,Supervised,1.2,SVM,1.3,10,Medium,10.0,1.0,Image,1.5,Unstructured,1.5,Tesla_T4,1.1,2.552727272727273,2.8080000000000007,5.616000000000001,0
Coal,2.5,Speech Recognition,Unsupervised,1.5,SVM,1.3,100,Medium,10.0,1.0,Categorical,1.0,Unstructured,1.5,RTX_3090,1.2,1.9500000000000004,2.3400000000000003,5.8500000000000005,0
Natural Gas,2.0,Autonomous Driving,Self-Supervised,1.8,Decision Tree,1.2,10,Large,100.0,1.2,Numeric,0.8,Structured,1.0,TPU_v4,0.6,4.608000000000001,2.7648000000000006,5.529600000000001,0
Solar,0.5,Chatbot,Unsupervised,1.5,Naive Bayes,1.1,80,Medium,10.0,1.0,Image,1.5,Unstructured,1.5,TPU_v3,0.7,6.364285714285715,4.455,2.2275,0
Wind,0.3,Speech Recognition,Reinforcement,2.0,CNN,1.8,70,Small,1.0,0.8,Numeric,0.8,Structured,1.0,RTX_3090,1.2,4.800000000000001,5.760000000000001,1.7280000000000002,0
Wind,0.3,Video Processing,Self-Supervised,1.8,Decision Tree,1.2,40,Medium,10.0,1.0,Categorical,1.0,Structured,1.0,Tesla_T4,1.1,2.3563636363636364,2.592,0.7776,0
Hydro,0.7,Fraud Detection,Self-Supervised,1.8,CNN,1.8,90,Small,1.0,0.8,Numeric,0.8,Unstructured,1.5,V100,1.0,7.776000000000002,7.776000000000002,5.443200000000001,0
Hydro,0.7,Speech Recognition,Reinforcement,2.0,Random Forest,1.5,70,Large,100.0,1.2,Image,1.5,Unstructured,1.5,TPU_v4,0.6,18.000000000000004,10.800000000000002,7.560000000000001,0
Coal,2.5,Autonomous Driving,Unsupervised,1.5,Decision Tree,1.2,60,Medium,10.0,1.0,Numeric,0.8,Unstructured,1.5,RTX_3090,1.2,2.16,2.592,6.479999999999999,0
Wind,0.3,Speech Recognition,Reinforcement,2.0,SVM,1.3,30,Medium,10.0,1.0,Numeric,0.8,Structured,1.0,RTX_3090,1.2,2.0800000000000005,2.4960000000000004,0.7488000000000001,0
Coal,2.5,Autonomous Driving,Reinforcement,2.0,RNN,1.6,90,Medium,10.0,1.0,Video,2.0,Unstructured,1.5,TPU_v3,0.7,16.45714285714286,11.52,28.800000000000004,1
Coal,2.5,Chatbot,Unsupervised,1.5,Naive Bayes,1.1,80,Medium,10.0,1.0,Audio,1.8,Unstructured,1.5,RTX_3090,1.2,4.455,5.346,13.365,1
Coal,2.5,Fraud Detection,Supervised,1.2,Transformer,2.2,80,Medium,10.0,1.0,Image,1.5,Structured,1.0,TPU_v3,0.7,4.525714285714286,3.168,7.919999999999999,0
Natural Gas,2.0,Speech Recognition,Unsupervised,1.5,Decision Tree,1.2,100,Large,100.0,1.2,Categorical,1.0,Structured,1.0,A100,0.8,3.6,2.88,5.76,0
Hydro,0.7,Image Classification,Supervised,1.2,SVM,1.3,90,Medium,10.0,1.0,Categorical,1.0,Unstructured,1.5,TPU_v4,0.6,4.68,2.808,1.9656,0
Wind,0.3,Chatbot,Self-Supervised,1.8,Transformer,2.2,50,Medium,10.0,1.0,Video,2.0,Structured,1.0,RTX_3090,1.2,7.920000000000002,9.504,2.8512000000000004,0
Nuclear,1.0,Speech Recognition,Self-Supervised,1.8,Random Forest,1.5,10,Medium,10.0,1.0,Audio,1.8,Structured,1.0,V100,1.0,3.888,3.888,3.888,0
Hydro,0.7,Speech Recognition,Reinforcement,2.0,Decision Tree,1.2,50,Large,100.0,1.2,Categorical,1.0,Structured,1.0,RTX_3090,1.2,3.2,3.84,2.688,0
Wind,0.3,Image Classification,Self-Supervised,1.8,Decision Tree,1.2,10,Small,1.0,0.8,Categorical,1.0,Structured,1.0,TPU_v4,0.6,7.200000000000001,4.32,1.296,0
Solar,0.5,Speech Recognition,Reinforcement,2.0,RNN,1.6,70,Small,1.0,0.8,Video,2.0,Unstructured,1.5,TPU_v3,0.7,27.42857142857144,19.200000000000003,9.6,1
Hydro,0.7,Video Processing,Reinforcement,2.0,CNN,1.8,60,Small,1.0,0.8,Video,2.0,Unstructured,1.5,V100,1.0,21.6,21.6,15.12,1
Nuclear,1.0,Video Processing,Supervised,1.2,Transformer,2.2,40,Small,1.0,0.8,Categorical,1.0,Unstructured,1.5,A100,0.8,9.9,7.919999999999999,7.919999999999999,0
Natural Gas,2.0,Video Processing,Self-Supervised,1.8,Decision Tree,1.2,30,Large,100.0,1.2,Categorical,1.0,Structured,1.0,RTX_3090,1.2,2.8800000000000003,3.4560000000000004,6.912000000000001,0
Natural Gas,2.0,Speech Recognition,Unsupervised,1.5,Decision Tree,1.2,20,Large,100.0,1.2,Categorical,1.0,Structured,1.0,A100,0.8,3.6,2.88,5.76,0
Hydro,0.7,Fraud Detection,Supervised,1.2,SVM,1.3,50,Small,1.0,0.8,Audio,1.8,Unstructured,1.5,A100,0.8,10.53,8.424000000000001,5.896800000000001,0
Wind,0.3,Fraud Detection,Unsupervised,1.5,CNN,1.8,50,Medium,10.0,1.0,Audio,1.8,Structured,1.0,TPU_v3,0.7,5.554285714285715,3.888,1.1664,0
Natural Gas,2.0,Video Processing,Self-Supervised,1.8,Naive Bayes,1.1,80,Medium,10.0,1.0,Audio,1.8,Structured,1.0,A100,0.8,3.5640000000000005,2.8512000000000004,5.702400000000001,0
Coal,2.5,Video Processing,Self-Supervised,1.8,Naive Bayes,1.1,40,Medium,10.0,1.0,Audio,1.8,Unstructured,1.5,TPU_v3,0.7,9.16457142857143,6.4152000000000005,16.038,1
Wind,0.3,Image Classification,Supervised,1.2,RNN,1.6,60,Small,1.0,0.8,Numeric,0.8,Unstructured,1.5,V100,1.0,4.6080000000000005,4.6080000000000005,1.3824,0
Solar,0.5,Chatbot,Supervised,1.2,Random Forest,1.5,90,Medium,10.0,1.0,Video,2.0,Structured,1.0,TPU_v4,0.6,7.199999999999999,4.319999999999999,2.16,0
Hydro,0.7,Autonomous Driving,Self-Supervised,1.8,CNN,1.8,40,Small,1.0,0.8,Categorical,1.0,Unstructured,1.5,RTX_3090,1.2,8.100000000000001,9.72,6.804,0
Solar,0.5,Video Processing,Supervised,1.2,CNN,1.8,50,Large,100.0,1.2,Audio,1.8,Unstructured,1.5,A100,0.8,11.664,9.3312,4.6656,0
Nuclear,1.0,Chatbot,Supervised,1.2,SVM,1.3,10,Large,100.0,1.2,Audio,1.8,Unstructured,1.5,V100,1.0,6.739200000000001,6.739200000000001,6.739200000000001,0
Nuclear,1.0,Video Processing,Unsupervised,1.5,Transformer,2.2,40,Medium,10.0,1.0,Audio,1.8,Structured,1.0,V100,1.0,7.128,7.128,7.128,0
Nuclear,1.0,Autonomous Driving,Self-Supervised,1.8,RNN,1.6,30,Small,1.0,0.8,Video,2.0,Unstructured,1.5,V100,1.0,17.28,17.28,17.28,1
Natural Gas,2.0,Video Processing,Supervised,1.2,RNN,1.6,10,Large,100.0,1.2,Numeric,0.8,Structured,1.0,TPU_v4,0.6,4.096000000000001,2.4576000000000007,4.915200000000001,0
Wind,0.3,Chatbot,Self-Supervised,1.8,Random Forest,1.5,30,Small,1.0,0.8,Audio,1.8,Structured,1.0,RTX_3090,1.2,8.100000000000001,9.72,2.916,0
Solar,0.5,Video Processing,Reinforcement,2.0,Naive Bayes,1.1,50,Large,100.0,1.2,Image,1.5,Unstructured,1.5,Tesla_T4,1.1,7.200000000000001,7.920000000000002,3.960000000000001,0
Nuclear,1.0,Speech Recognition,Reinforcement,2.0,SVM,1.3,40,Medium,10.0,1.0,Image,1.5,Structured,1.0,TPU_v4,0.6,5.2,3.12,3.12,0
Coal,2.5,Fraud Detection,Self-Supervised,1.8,CNN,1.8,90,Medium,10.0,1.0,Video,2.0,Structured,1.0,V100,1.0,5.184000000000001,5.184000000000001,12.960000000000004,1
Coal,2.5,Fraud Detection,Supervised,1.2,CNN,1.8,80,Large,100.0,1.2,Image,1.5,Unstructured,1.5,TPU_v4,0.6,12.960000000000004,7.776000000000002,19.440000000000005,1
Hydro,0.7,Image Classification,Unsupervised,1.5,Transformer,2.2,90,Medium,10.0,1.0,Audio,1.8,Unstructured,1.5,V100,1.0,7.128000000000002,7.128000000000002,4.989600000000001,0
Nuclear,1.0,Chatbot,Reinforcement,2.0,Transformer,2.2,10,Medium,10.0,1.0,Image,1.5,Structured,1.0,V100,1.0,7.92,7.92,7.92,0
Coal,2.5,Video Processing,Self-Supervised,1.8,Random Forest,1.5,100,Medium,10.0,1.0,Image,1.5,Structured,1.0,V100,1.0,3.24,3.24,8.100000000000001,0
Nuclear,1.0,Autonomous Driving,Supervised,1.2,Decision Tree,1.2,100,Medium,10.0,1.0,Numeric,0.8,Structured,1.0,A100,0.8,1.152,0.9216,0.9216,0
